timestamp,hourly_traffic_count
datetime,float
T,
2011-02-17 15:00:00,3587
2011-02-17 16:00:00,3991
2011-02-17 17:00:00,4051
2011-02-17 18:00:00,5189
2011-02-17 19:00:00,4753
2011-02-17 20:00:00,4047
2011-02-17 21:00:00,3675
2011-02-17 22:00:00,3035
2011-02-17 23:00:00,2371
2011-02-18 00:00:00,1988
2011-02-18 01:00:00,1321
2011-02-18 02:00:00,797
2011-02-18 03:00:00,566
2011-02-18 04:00:00,488
2011-02-18 05:00:00,671
2011-02-18 06:00:00,1228
2011-02-18 07:00:00,2110
2011-02-18 08:00:00,2597
2011-02-18 09:00:00,3996
2011-02-18 10:00:00,2859
2011-02-18 11:00:00,2404
2011-02-18 12:00:00,3211
2011-02-18 13:00:00,2888
2011-02-18 14:00:00,3474
2011-02-18 15:00:00,4084
2011-02-18 16:00:00,5261
2011-02-18 17:00:00,4915
2011-02-18 18:00:00,4688
2011-02-18 19:00:00,4720
2011-02-18 20:00:00,4433
2011-02-18 21:00:00,3967
2011-02-18 22:00:00,2605
2011-02-18 23:00:00,3226
2011-02-19 00:00:00,2648
2011-02-19 01:00:00,2000
2011-02-19 02:00:00,1308
2011-02-19 03:00:00,986
2011-02-19 04:00:00,853
2011-02-19 05:00:00,885
2011-02-19 06:00:00,829
2011-02-19 07:00:00,1386
2011-02-19 08:00:00,1976
2011-02-19 09:00:00,2697
2011-02-19 10:00:00,3079
2011-02-19 11:00:00,3582
2011-02-19 12:00:00,4000
2011-02-19 13:00:00,4163
2011-02-19 14:00:00,4155
2011-02-19 15:00:00,4348
2011-02-19 16:00:00,4394
2011-02-19 17:00:00,4534
2011-02-19 18:00:00,4129
2011-02-19 19:00:00,3831
2011-02-19 20:00:00,3398
2011-02-19 21:00:00,3139
2011-02-19 22:00:00,2667
2011-02-19 23:00:00,2656
2011-02-20 00:00:00,2519
2011-02-20 01:00:00,1824
2011-02-20 02:00:00,1332
2011-02-20 03:00:00,1073
